symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2020-03-27 00:00:00+00:00,252.73,263.12,248.68,250.0,15970744,6.2961444933,6.5549857123,6.1952487342,6.2281332779,638829760,0.0,1.0
NVDA,2020-03-30 00:00:00+00:00,265.59,265.96,253.59,255.36,15056253,6.6165196691,6.6257373064,6.3175692718,6.3616644554,602250120,0.0,1.0
NVDA,2020-03-31 00:00:00+00:00,263.6,275.4,257.75,267.2,23749014,6.5669437282,6.8609116189,6.4212054095,6.6566288474,949960560,0.0,1.0
NVDA,2020-04-01 00:00:00+00:00,243.07,261.53,241.28,255.65,16422828,6.0554894234,6.5153747847,6.0108959892,6.36888909,656913120,0.0,1.0
NVDA,2020-04-02 00:00:00+00:00,255.47,256.0,242.31,244.24,16894113,6.364404834,6.3776084766,6.0365558983,6.0846370872,675764520,0.0,1.0
NVDA,2020-04-03 00:00:00+00:00,243.91,255.63,238.39,253.96,16580346,6.0764159513,6.3683908393,5.9388987685,6.326786909,663213840,0.0,1.0
NVDA,2020-04-06 00:00:00+00:00,268.4,269.88,252.93,255.24,18197062,6.6865238872,6.7233944362,6.3011269999,6.3586749514,727882480,0.0,1.0
NVDA,2020-04-07 00:00:00+00:00,259.03,278.25,257.3,277.3,19613047,6.4530934519,6.9319123383,6.4099947696,6.9082454318,784521880,0.0,1.0
NVDA,2020-04-08 00:00:00+00:00,266.95,267.95,260.6,263.41,13561113,6.6504007141,6.6753132473,6.4922061289,6.5622103469,542444520,0.0,1.0
NVDA,2020-04-09 00:00:00+00:00,262.95,272.92,260.42,272.0,13156195,6.5507505817,6.7991285368,6.4877218729,6.7762090064,526247800,0.0,1.0
NVDA,2020-04-13 00:00:00+00:00,269.85,270.2,257.0,260.55,9960182,6.7226470602,6.7313664468,6.4025210097,6.4909605022,398407280,0.0,1.0
NVDA,2020-04-14 00:00:00+00:00,283.95,285.32,273.89,275.0,13273667,7.073913777,7.1080439474,6.8232936939,6.8509466057,530946680,0.0,1.0
NVDA,2020-04-15 00:00:00+00:00,280.84,284.17,275.38,277.2,9153721,6.9964357991,7.0793945343,6.8604133683,6.9057541785,366148840,0.0,1.0
NVDA,2020-04-16 00:00:00+00:00,294.7,299.0,286.55,287.08,18640510,7.341723508,7.4488474004,7.1386863631,7.1518900057,745620400,0.0,1.0
NVDA,2020-04-17 00:00:00+00:00,292.32,298.86,286.94,298.0,13478049,7.2824316792,7.4453596457,7.148402251,7.4239348673,539121960,0.0,1.0
NVDA,2020-04-20 00:00:00+00:00,287.05,293.5,285.27,287.24,11234705,7.1511426297,7.3118284683,7.1067983207,7.155876011,449388200,0.0,1.0
NVDA,2020-04-21 00:00:00+00:00,269.51,284.77,267.11,282.31,18378996,6.7141767989,7.0943420542,6.6543867194,7.0330572227,735159840,0.0,1.0
NVDA,2020-04-22 00:00:00+00:00,286.15,287.87,275.4,277.23,12118228,7.1287213499,7.1715709068,6.8609116189,6.9065015545,484729120,0.0,1.0
NVDA,2020-04-23 00:00:00+00:00,284.01,293.14,283.0,287.84,10603988,7.075408529,7.3028599563,7.0502468706,7.1708235308,424159520,0.0,1.0
NVDA,2020-04-24 00:00:00+00:00,289.59,289.67,280.6,283.6,8816137,7.2144204638,7.2164134664,6.9904567911,7.0651943905,352645480,0.0,1.0
NVDA,2020-04-27 00:00:00+00:00,297.08,303.5,294.0,294.99,11984699,7.4010153368,7.5609537994,7.3242847348,7.3489481426,479387960,0.0,1.0
NVDA,2020-04-28 00:00:00+00:00,291.36,304.2,291.14,303.0,11072603,7.2585156474,7.5783925725,7.2530348901,7.5484975328,442904120,0.0,1.0
NVDA,2020-04-29 00:00:00+00:00,298.46,300.58,293.75,296.77,9479047,7.4353946325,7.4882092027,7.3180566015,7.3932924515,379161880,0.0,1.0
NVDA,2020-04-30 00:00:00+00:00,292.28,298.46,291.72,296.29,9397943,7.2814351779,7.4353946325,7.2674841593,7.3813344356,375917720,0.0,1.0
NVDA,2020-05-01 00:00:00+00:00,282.78,288.9,280.84,284.35,8552445,7.0447661133,7.1972308159,6.9964357991,7.0838787903,342097800,0.0,1.0
NVDA,2020-05-04 00:00:00+00:00,291.29,291.84,280.88,280.88,7938880,7.2567717701,7.2704736633,6.9974323004,6.9974323004,317555200,0.0,1.0
NVDA,2020-05-05 00:00:00+00:00,293.74,300.27,291.29,295.47,9222391,7.3178074762,7.4804863174,7.2567717701,7.3609061585,368895640,0.0,1.0
NVDA,2020-05-06 00:00:00+00:00,297.79,302.0,295.41,296.93,8086639,7.4187032353,7.5235849997,7.3594114065,7.3972784568,323465560,0.0,1.0
NVDA,2020-05-07 00:00:00+00:00,304.87,307.41,301.32,303.38,9343263,7.5950839697,7.6583618038,7.5066444772,7.5579642954,373730520,0.0,1.0
NVDA,2020-05-08 00:00:00+00:00,312.5,312.75,306.39,307.75,8497678,7.7851665974,7.7913947307,7.6329510201,7.6668320651,339907120,0.0,1.0
NVDA,2020-05-11 00:00:00+00:00,322.62,324.5,311.15,312.3,11726504,8.0372814325,8.0841169947,7.7515346777,7.7801840908,469060160,0.0,1.0
NVDA,2020-05-12 00:00:00+00:00,312.1,326.9,311.71,324.94,12326482,7.7752015841,8.1439070742,7.7654856962,8.0950785093,493059280,0.0,1.0
NVDA,2020-05-13 00:00:00+00:00,311.2,323.14,303.79,316.7,15646252,7.7527803043,8.0502359497,7.568178434,7.8897992364,625850080,0.0,1.0
NVDA,2020-05-14 00:00:00+00:00,321.22,321.44,307.5,313.67,15057809,8.0024038861,8.0078846434,7.6606039318,7.8143142611,602312360,0.0,1.0
NVDA,2020-05-15 00:00:00+00:00,339.63,340.02,314.96,315.59,24691543,8.4610436207,8.4707595086,7.8464514288,7.8621463247,987661720,0.0,1.0
NVDA,2020-05-18 00:00:00+00:00,350.01,356.66,347.22,350.42,19410086,8.7196357144,8.8853040596,8.650129747,8.729849853,776403440,0.0,1.0
NVDA,2020-05-19 00:00:00+00:00,352.22,363.5,350.51,351.61,17933049,8.7746924126,9.0557057861,8.7320919809,8.7594957674,717321960,0.0,1.0
NVDA,2020-05-20 00:00:00+00:00,358.8,361.72,355.55,359.64,14688405,8.9386168804,9.0113614771,8.8576511478,8.9595434083,587536200,0.0,1.0
